课程名称,课程ID,课程学分,结业条件
分析风险和制定计划,a4943a42ed6fbd82b93e64d53ccc0eca,0.5,课程评估
怎样进行情境领导,bb4403a7ea0f52ebaddd5f24a0e03333,0.5,课程评估
集团公司的管控模式,455243e0ece8121858fa5a6c21bb011e,0.5,课程评估
集团公司组织设计,aa7616c1685daf17eceecbb2d5379a8a,0.5,课程评估
成功商业模式借鉴（new）,ec7940db429bb92a7c9fc7ca49a593bc,0.5,课程评估
商业模式创新：产品金字塔模式（new）,88fc84e25264652999bd19440a180af7,0.5,课程评估
商业模式创新（new）,4a33ae734e133fd940035242ad54f300,0.5,课程评估
成功商业模式经典案例（new）,eb19d06e296bef4f2de77751b3fbbe15,1,课程评估
商业模式创新：利润倍增模式（new）,ed40948d28f881c47ccf8d3686d50d72,0.5,课程评估
商业模式创新：网模式（new）,8d3be59dd7f5729be34f0019138169b3,1,课程评估
领导者如何塑造君子风范（new）,79a339afb23b555962be6f6dc1b09bb0,1,课程评估
领导者如何提升语言魅力（new）,176577d2007cef49f75c3b8e3892bd6c,1,课程评估
系统思考应用实务指南,a31492354673a1ed6c3f810c15b6599c,1,课程评估
解读商业模式,5f7fcb154ee399ef3c5fc08f227c57c4,1,课后测试
什么是战略：战略大师迈克波特的经典诠释,2668ff0f574ed3a5aab658d59d43a4ed,1,课程评估
学习型组织落地的方法,234174a345d6b14420c9c79dbd94b26c,2,课后测试
企业推行知识管理的关键,55e6fbdd3100391a15d940108bf0cb7e,1.5,课程评估
绩效管理体系的组成,9aa6aa6c928c7a5a2fab1de25cca9f4a,0.5,课后测试
高效沟通十三招,e71494343bebe8eccf69a401d41f7446,6.5,课程评估
战略制定与执行,db2e0280338094c996a7fb05d69626d8,11.5,课程评估
为官之道,659a6ae9e45596628bdce128fde90b6e,5.5,课程评估
组织管控之集分权设计,7d5dc0b604fa8a752d1a30a16d9085e8,0.5,课程评估
组织管控体系搭建难点,24cef84987910f4d0b81d5326b705b01,0.5,课后测试
正确认识组织管控,cffd5907b3e81951762f03985e19dd41,1.5,课后测试
如何成为一名教练型领导者,ee8b4bf03c500ef9d7e0e7d0887e6dbe,1,课后测试
如何把握战略时机,c2dfccef0adf654f51ec645db4c6fd43,1,课程评估
如何制定竞争战略,246f18f63a68e343c1b83b84e37d9014,1,课后测试
如何制定事业战略,79bcef2bf4e6ff1fb74efec3a4c32c03,1,课后测试
战略思维空间与要素,2e0db52563d830e3f1b2dfcec15f37ac,1,课后测试
战略管理误区,f3b0c708e3db605066089f85c695c80b,1,课程评估
如何制定职能战略,53f7f5e14a4b8cc5c4fecbbee7daa619,1,课程评估
如何评估问题的状况,ae159d5f37eabc617e87870a143af98b,1,课后测试
如何分析问题,75604afd0f5a8d521d868448390f1f31,1,课程评估
解决问题的思维模式,4cd96225e5e6c7b5e80845ae21e7c899,2,课后测试
正确认知领导者影响力,4696840895f7c0ab4c6c5fe64b40cce1,1,课程评估
领导者如何在人际关系中影响别人,76599b7b3461c45c61689733501a1740,1,课程评估
提升领导者影响力的四大途径,c4cd5acc785ee5023f2e37ddee89e62a,3,课程评估
平衡计分卡与企业战略执行,b2b2356817cbf7cbc1dc0ae510f6d1dd,0.5,课后测试
平衡计分卡成功应用案例解析,8175903fa1bb03f2d3306cf7ce163345,1,课程评估
谈判中的情绪管理,425f71d5eb54370e84338df2edfa74ac,1,课程评估
谈判中的沟通技巧,060c6df619909c3e3e73c2091569fd9a,1.5,课程评估
跨部门沟通谈判技巧,80b4c969424dc928a1bf2548bde34b8f,1.5,课程评估
互联网商业模式的应用,c140e7a963af63bfd84166c9642bd45e,1,课后测试
领导力提升的八大要领,8d31fd2a25c7931dedf77ff970f22530,1,课程评估
领导力的八大修炼,28a004fd7cbc419b698f989ecdcdf8ec,1.5,课程评估
领导力的基础认知,1db1eb90e2495e58c6766a9727d9ae87,2,课后测试
企业变革管理与创新思维,79c0904e48300658039bd25add1e95ff,1,课程评估
企业财务报表分析,1d9735d002a1ef25079cf0ecb2b01a30,2,课程评估
集团战略与集团财务管控,5236f7fe7f2936cf17305ec4dc7a1fa0,1,课程评估
女性领导力,2c60cf24d105c031f1263ca549b353fd,2,课程评估
如何提高员工个人EQ觉察力,1d7c4e464f41334606eaf4d35204ead0,1,课程评估
如何提高员工个人EQ的角色认知,07fb5a8564da243c5f580c8234e3fc60,1,课后测试
如何提高员工个人EQ的行动力,3053bec1d36a1fbcd3c126c0421eadc6,1,课程评估
如何创造情绪空间,908d8604a86491918f542be0c5c56f39,1,课程评估
制造型企业管理者的技能要求,139f7c31c85dfbbba47606a0e8786883,1,课程评估
管理的四大基本技能,cccc4f5363cb6d291ace80fcc27def85,1,课后测试
正确认识流程,d5caa613bf23fa6b6326a01da58a637f,2,课后测试
流程管理的三个层次,31d7a1a9ca4fb5959cbd02b854d7843b,1,课后测试
流程优化的方法,778346d983ee8b3d03530144d11d566e,1,课后测试
关键人才的吸引与选拔,8c0509f87c83fecfc39db4795c997efa,1,课后测试
企业核心竞争力与企业关键人才,230b1e2b6a8ca4c16590a03e7934ba83,1,课后测试
关键人才的考核与激励,a81f16b4819ae68283b7019e3235ee7a,1,课后测试
关键人才的培养与开发,61c4a8952bda8a95024020c68306dadb,1,课后测试
关键人才流失的原因与留人技巧,0ed1ef2a1c6cba1d9de617cef6574201,1,课程评估
如何领导关键人才,e63ffd927ec0da487a01b34ff7a182be,1,课后测试
经理人的影响力运作,4eb1a938b68fa8a5a30a7152a97c0d3d,2,课后测试
领导者如何发挥影响力,4296110531ecfdaf4fac662cb4d7f11d,1,课程评估
如何塑造员工职业化行为,91f3ab6028c8eba2297f9da920512f4b,1,课后测试
如何塑造员工职业化态度,8575763704a56c7e2e1439bbc492b97b,1,课程评估
如何塑造员工职业化观念,4a201894fc5df86477d6bc0240bfe6af,1,课程评估
为什么需要职业化的塑造,838dec45114d726632f0064567d7a915,1.5,课后测试
认知项目管理,5b3af112b7fbfda976d741267e6efcd3,2,课程评估
工具决定执行的效率,67c9f87467811eead3c9ce81ed84efff,2,课后测试
技能决定执行的品质,f32d8be408b986dad458fcdc35501dc0,2,课后测试
领导者决策力修炼,a742427ff022539d756db1f54f6be615,0.5,课程评估
领导者组织力修炼,a70d3857460e826271ee663a3a3f7ca9,2,课后测试
领导者的能力结构,45e2ff320168bed998fac7d385dafb6a,0.5,课程评估
领导者学习力修炼,7a598e2ed563d3a671f95359bf4c34d3,0.5,课程评估
领导者感召力修炼,ea88dc1cd1eb8603230ffb7e217b335e,0.5,课程评估
领导者教导力修炼,48f095f8cc6b0743f5aa57f0c9473cfb,1.5,课后测试
领导者执行力修炼,182cb2cab7e70251c3849e315250dd60,0.5,课程评估
与上司相处的原则与细节,9821d40c6f23370368d06e389422ee8f,2,课后测试
领导者心智模式建设的基础,5bd18aad4bbc1792096a48c619f613e8,2,课后测试
新晋管理人员问题解决能力提升,8772ec09733682d3f08b624535658ce6,1,课后测试
企业变革的实践与应用,ef6ee38b7b2876c00d3772ca4f39ebb5,2.5,课后测试
企业变革的创新思维,7e95ddd8c7b26f1f33c876103197589d,1.5,课后测试
正确认知执行力,5613cf7a62ea14a90ece20da53b3c05d,1,课程评估
角色决定执行的力度,f5ce353707af73d089786a74a4cddefa,1,课程评估
企业创新与突破的28个通法,c9067078a3ed76b721802ef8d2dde580,7,课程评估
领导者如何运用权力,172bcaa0f001c5e6208cf63cfc12bd5d,0.5,课程评估
如何理解共赢领导力,8c3b098f93e954e371dbd371e7a3d7f8,2,课后测试
如何与上司、同僚和下属相处,38f76eef41ef4ca67fa57e5b4eac09f3,1,课后测试
总经理角色认知与定位,4853ac0777f6d1f5cc7ffd1b72cae367,1.5,课后测试
经理人必备激励意识,3f6cf4ffae2e048df7cde367ed99a970,1,课程评估
如何分析和衡量员工的发展层次,580eb293dab0f99ba43973d881e583b6,1,课程评估
战略环境：企业资源条件新视野,b3383c4d633a22a44f51f70839e727a0,1,课后测试
战略思维：企业未来靠什么赚钱,9203ef5bf7e8df337ed1eeebc4f5f56f,1.5,课后测试
战略优势：企业软实力比拼未来,d8bf8e30707d5c7deb801a24a6cae6b3,0.5,课程评估
战略选择：适合企业的就是最好的,24d8fc62d391596ec84704aaedd9171b,1,课后测试
战略创新：后危机时代的新思维,1239ed51711083590ea1b886ac8078b7,0.5,课程评估
战略执行：什么让我们半途而废,0a25b511fba540a5d5ac9c87f4c442ec,1.5,课后测试
考核部属的前提：识人,767a047b3ec3f7642637ba1b0432ac75,1,课后测试
成为上司左右手的标准,5681c76042c15e1f516898cccdfb5c27,2,课后测试
激励部属的有效策略,ae36b027fe05c101ffbb61708f5c7aa7,1,课后测试
成为上司左右手的出路,ac8cbfb6a352c5374e98e05085b2375d,1,课程评估
组织内部会议组织与沟通技巧,898a3cad946cf92fe11380145a5f6d4d,1,课后测试
团队领导艺术,16217d791d7dda5d6cd36150555dc10e,2.5,课程评估
职责管理的方法,52ca11772f87cbf7827529ef8fac0300,2,课后测试
如何正确认知职责,6d80878c691bdfce2641da79f8975bb7,1.5,课后测试
目标计划的沟通,a58965c2a7ac600fea3e423ffb40c863,1,课后测试
如何实现工作目标,62dd68074f75b8d876405fd5be940184,1,课后测试
促进目标实现的激励技巧,7dfcfa97e8674912c65d5c5a354eac09,1.5,课程评估
如何修炼开放兼容的合作心态,95d00a8871dd91aff42c7a7df624614b,1.5,课程评估
如何修炼追求卓越的职场心态,806cd9a3bf95e052c7e7e01c5ac16eb1,1,课程评估
顶尖职场心态修炼之道,611ce75507c2bc71a9fff1c3e468a0fc,1,课程评估
领导者如何激励下属,9db9be15ac876639d8a7ffb20bab8939,2,课后测试
如何让下属心甘情愿执行,eb90b243dbc6f956a95060eeb1550af3,1,课后测试
经理人如何构建理想自我,e519ca20d0df83b10bf66ce970464104,1.5,课后测试
经理人常见的交流方式,e1bb2b72f5a2e36b7e584dbd776ecfe5,1.5,课程评估
塑造员工职业化的4步曲,400a77ecc06ba66fa632a6ff5c7e26bf,2,课后测试
如何帮助员工担当重任,9fde816cc8fff62734a5c7f7d4c95ff4,1,课后测试
培育与教导下属的重点和时机,e6f910c24dfd122d46132fbbbecf0e08,1.5,课后测试
培育与教导下属的技巧,8e5db7aafb0cdb07d717097ba6b83394,1.5,课后测试
懂心理学塑造职业化新员工,aaa7350f8bdd518e297817ee069c2d2e,1,课后测试
如何激励与留住80、90后员工,9ea62290afb9fec81ee1ce48d27030ee,1,课后测试
如何培育与指导80、90后员工,528e62e9fe577ca46a130e21ed5efe48,1,课后测试
如何跟80、90后员工沟通,6c3b53cc69ee3e2b0a8344925dd5be0f,1,课后测试
高级驾驶辅助系统（ADAS）设计及测试验证方法,888f134521e84a9f8d3a513ea884b047,2,课程评估
电能管理（EEM）设计开发和介绍,1b7221fec3e34a4b95a95218c69745a0,1,课程评估
V2X应用培训,87ab5b026a704bd2a38c24a5c815377a,1,课程评估
车联网技术在商用车的应用,6a40afb4df8744ea916b07236b02af74,1,课程评估
解析质量成本平衡之道,POM020601,2,课后测试
MVP-第1讲-销量爬坡及分布图表制作！,725f9cb55dfc42cea7e202a9567d4991,0.5,课程评估
MVP-第2讲-产品组合多种视角销量规划条形图制作！,2b989500778f4c72a4002e1e39ae4fec,0.5,课程评估
经济性分析-第2讲-各年度产品净收入、总成本以及利息税前利润趋势组合图制作！,cd6e508fddaa46ac8d85af6043dfa4f7,0.5,课程评估
VCM-第5讲-各系统后续开发工作量及工作重点识别累积百分比柱状图制作！,ad19602c7ad749e2801ae961fc963969,0.5,课程评估
VCM-第6讲-总部和事业部开发分工的工作量展示散点图制作！,e2417517eac14bf5ab84bb02175e5814,0.5,课程评估
VCM-第14讲-不同代表车型之间同模块采购价格以及采购状态成熟度量化展示柱制作！,c4f768dbdb8941109adc35a43f5f118f,0.5,课程评估
MVP-第3讲-基础模块组合整体峰值销量分布树状图制作！,a04e71e16bf34ecc88bba45127712125,0.5,课程评估
VCL-第1讲-车型组合预期销量百分比散点图制作！,a43dd85dd1834eea9e4a65a1026f83a6,0.5,课程评估
VCM-第1讲-系统层级变型数量总体情况展示条形图制作！,d9beb5457c9f43ad8b2920efc8e75893,0.5,课程评估
VCM-第2讲-系统层级变型开发成熟度累积百分比条形图制作！,af2aa482d8b547e4b3e92beb45f8cbc2,0.5,课程评估
VCM-第3讲-模块团队层级变型分析条形图制作！,100667f7f55f47cb99c61e33b8ce77e7,0.5,课程评估
VCM-第4讲-模块团队层级变型开发成熟度以及变型数量累积百分比条形图制作！,fb60833d26cf49df929bac22c8234bab,0.5,课程评估
VCM-第7讲-不同代表车型之间各系统成本差额量化展示瀑布图制作！,cf3190dfca624a2ca826cb832834db38,0.5,课程评估
VCM-第8讲-各代表车型零件总体采购价格及其对应的开发成熟度占比量化展示堆积柱状图制作！,d26aedcce942407bbe8089591e3217a9,0.5,课程评估
VCM-第9讲-各代表车型每个系统采购价格占比量化展示堆积柱形图制作！,e934ade181be42c29fa84e78ecc5c9be,0.5,课程评估
VCM-第10讲-各代表车型零件总体采购价格及其对应的开发成熟度占比量化展示堆积柱状图制作！,912eeb688b2444ce87a6717902120f42,0.5,课程评估
VCM-第11讲-各代表车型供应商定点成熟度占比量化展示堆积柱状图制作！,87075f90522242cf9921fb0100c2e1d7,0.5,课程评估
VCM-第12讲-各代表车型的重量及重量成熟度量化展示堆积柱状图制作！,e57420d9f10e4713a4bc7d0ac698de4c,0.5,课程评估
VCM-第13讲-新开发车型与上一代代表车型成本差异量化展示柱状图制作！,f48dbb5f90274aa9ab9dfcc15666c798,0.5,课程评估
VCM-第15讲-各代表车型某一模块重量及重量成熟度量化展示柱状图制作！,673b63728e784e4d9fb28ad1ea17d8d6,0.5,课程评估
VCM-第16讲-新开发车型与上一代代表车型模块成本差异量化展示柱状图制作！,bde4bf8802c44ee39cb0da7a27083e44,0.5,课程评估
VCM-第18讲-各变型年采购额和总体开发成熟度量化展示散点图制作！,e473e449f0144e13ba5e2f22f5552c6b,1,课程评估
VCM-第19讲-基于零部件变型的代表车型对平台整体零部件通用率色阶图制作！,b71db98d9b164c09a668528481c80005,0.5,课程评估
VCM-第20讲-基于零部件成本的代表车型对平台整体零部件通用率色阶图制作！,f940ea3edaa24b57957ed485bea4bf5c,0.5,课程评估
经济性分析-第1讲-各年度息税前利润以及累计息税前利润趋势组合图制作！,ece8a69a2c294511aada79ff7e3236b7,0.5,课程评估
运营视角看产品,RDM010240,1.5,课后测试
迭代视角做产品,RDM010241,1.5,课程评估
操盘视角管产品,RDM010242,1.5,课后测试
产品经理的用户思维,RDM010243,0.5,课程评估
文档-MRD&PRD,RDM010244,1,课程评估
流程-业务流程与泳道图,RDM010245,1,课程评估
体验-交互设计与用户体验,RDM010246,1,课程评估
三圈定位产品经理能力模型,RDM020101,1,课程评估
小白产品经理看产品,RDM020102,1,课程评估
一年级产品经理能力模型,RDM020103,1,课程评估
二年级产品经理能力模型,RDM020104,0.5,课程评估
三年级产品经理能力模型,RDM020105,1,课程评估
技术大咖的职业生涯规划,RDM030101,1,课后测试
从技术走向管理的成长困扰,RDM030102,1,课后测试
从技术走向管理的成长之路,RDM030103,1,课后测试
管理者常用的管理工具,RDM030104,2.5,课后测试
从0-1做产品,RDM010447,1,课后测试
认识产品与还原产品,RDM010448,1.5,课后测试
创造产品,RDM010449,1,课后测试
产品经理是个什么鬼,RDM010442,1.5,课程评估
产品经理的技术思维,RDM010443,0.5,课程评估
产品经理的运营思维,RDM010444,0.5,课程评估
